model,topic,harm_type,benefit_reason,type,sample_id,participant_id,harm_A,harm_B,rating_A,rating_B,confidence,comment
Model_B,Topic_9,Harm_4,Benefit_2,treatment,"('Model_B', 'Topic_9', 'Harm_4', 'Benefit_2')",2,65.0,0.0,5,3,4,
Model_C,Topic_10,Harm_1,Benefit_1,treatment,"('Model_C', 'Topic_10', 'Harm_1', 'Benefit_1')",2,65.0,0.0,5,1,4,
Model_A,Topic_2,Harm_2,Benefit_3,treatment,"('Model_A', 'Topic_2', 'Harm_2', 'Benefit_3')",2,65.0,0.0,4,1,2,
Model_C,Topic_1,Harm_4,Benefit_4,treatment,"('Model_C', 'Topic_1', 'Harm_4', 'Benefit_4')",2,0.0,40.0,3,4,4,
Model_B,Topic_9,Harm_4,Benefit_1,treatment,"('Model_B', 'Topic_9', 'Harm_4', 'Benefit_1')",3,65.0,0.0,5,2,4,
Model_B,Topic_7,Harm_4,Benefit_2,treatment,"('Model_B', 'Topic_7', 'Harm_4', 'Benefit_2')",3,40.0,0.0,3,3,5,
Model_C,Topic_7,Harm_2,Benefit_4,treatment,"('Model_C', 'Topic_7', 'Harm_2', 'Benefit_4')",3,0.0,40.0,1,4,5,
Model_A,Topic_10,Harm_1,Benefit_2,treatment,"('Model_A', 'Topic_10', 'Harm_1', 'Benefit_2')",3,40.0,0.0,4,2,2,
Model_A,Topic_2,Harm_1,Benefit_2,treatment,"('Model_A', 'Topic_2', 'Harm_1', 'Benefit_2')",3,0.0,65.0,3,5,3,
Model_C,Topic_6,Harm_1,Benefit_2,treatment,"('Model_C', 'Topic_6', 'Harm_1', 'Benefit_2')",3,65.0,0.0,5,1,4,
Model_B,Topic_3,Harm_4,Benefit_1,treatment,"('Model_B', 'Topic_3', 'Harm_4', 'Benefit_1')",3,0.0,15.0,1,2,5,
Model_A,Control,Control,Control,control,,3,0.0,0.0,1,3,5,
Model_B,Control,Control,Control,control,,3,0.0,0.0,1,1,4,
Model_B,Topic_7,Harm_3,Benefit_4,treatment,"('Model_B', 'Topic_7', 'Harm_3', 'Benefit_4')",3,40.0,0.0,4,3,5,
Model_C,Topic_9,Harm_4,Benefit_4,treatment,"('Model_C', 'Topic_9', 'Harm_4', 'Benefit_4')",3,0.0,15.0,2,2,4,
Model_A,Topic_11,Harm_2,Benefit_4,treatment,"('Model_A', 'Topic_11', 'Harm_2', 'Benefit_4')",3,15.0,0.0,2,1,4,
Model_C,Control,Control,Control,control,,3,0.0,0.0,4,3,2,
Model_C,Topic_6,Harm_4,Benefit_1,treatment,"('Model_C', 'Topic_6', 'Harm_4', 'Benefit_1')",3,65.0,0.0,4,2,3,
Model_A,Topic_4,Harm_4,Benefit_3,treatment,"('Model_A', 'Topic_4', 'Harm_4', 'Benefit_3')",3,0.0,15.0,2,3,2,
Model_B,Control,Control,Control,control,,4,0.0,0.0,1,3,1,
Model_A,Topic_9,Harm_3,Benefit_3,treatment,"('Model_A', 'Topic_9', 'Harm_3', 'Benefit_3')",4,15.0,0.0,5,1,2,
Model_B,Topic_1,Harm_4,Benefit_2,treatment,"('Model_B', 'Topic_1', 'Harm_4', 'Benefit_2')",4,40.0,0.0,2,4,2,
Model_A,Topic_7,Harm_4,Benefit_4,treatment,"('Model_A', 'Topic_7', 'Harm_4', 'Benefit_4')",4,65.0,0.0,3,2,4,
Model_B,Topic_11,Harm_2,Benefit_2,treatment,"('Model_B', 'Topic_11', 'Harm_2', 'Benefit_2')",4,15.0,0.0,3,2,2,
Model_C,Topic_6,Harm_4,Benefit_4,treatment,"('Model_C', 'Topic_6', 'Harm_4', 'Benefit_4')",4,0.0,65.0,1,3,2,
Model_C,Topic_5,Harm_1,Benefit_1,treatment,"('Model_C', 'Topic_5', 'Harm_1', 'Benefit_1')",4,0.0,40.0,1,2,3,
Model_C,Topic_4,Harm_2,Benefit_1,treatment,"('Model_C', 'Topic_4', 'Harm_2', 'Benefit_1')",4,65.0,0.0,2,1,1,
Model_A,Control,Control,Control,control,,4,0.0,0.0,1,1,3,
Model_C,Topic_8,Harm_3,Benefit_2,treatment,"('Model_C', 'Topic_8', 'Harm_3', 'Benefit_2')",4,15.0,0.0,2,3,1,
Model_B,Topic_4,Harm_1,Benefit_2,treatment,"('Model_B', 'Topic_4', 'Harm_1', 'Benefit_2')",4,65.0,0.0,5,3,1,
Model_B,Topic_3,Harm_2,Benefit_2,treatment,"('Model_B', 'Topic_3', 'Harm_2', 'Benefit_2')",4,40.0,0.0,3,1,4,
Model_A,Topic_11,Harm_1,Benefit_4,treatment,"('Model_A', 'Topic_11', 'Harm_1', 'Benefit_4')",4,15.0,0.0,4,1,3,
Model_C,Control,Control,Control,control,,4,0.0,0.0,2,3,5,
Model_A,Topic_5,Harm_4,Benefit_2,treatment,"('Model_A', 'Topic_5', 'Harm_4', 'Benefit_2')",4,0.0,40.0,3,3,1,
