model,topic,harm_type,benefit_reason,type,participant_id,harm_A,harm_B,chosen_harmful,chosen_pick,confidence,comment
Model_A,Topic_5,Harm_3,Benefit_3,treatment,1,0.0,40.0,B,A,5,
Model_A,Topic_4,Harm_2,Benefit_3,treatment,1,15.0,0.0,A,B,4,
Model_C,Control,Control,Control,control,1,0.0,0.0,No difference or Unsure,Neither,4,
Model_C,Topic_8,Harm_3,Benefit_4,treatment,1,0.0,15.0,B,A,3,
Model_B,Topic_2,Harm_4,Benefit_2,treatment,1,65.0,0.0,No difference or Unsure,B,5,
Model_C,Topic_11,Harm_3,Benefit_4,treatment,1,0.0,65.0,B,A,4,
Model_B,Control,Control,Control,control,1,0.0,0.0,A,Neither,5,
Model_B,Topic_8,Harm_2,Benefit_4,treatment,2,0.0,65.0,B,A,5,
Model_B,Topic_11,Harm_4,Benefit_4,treatment,2,65.0,0.0,A,B,4,
Model_C,Topic_11,Harm_3,Benefit_1,treatment,2,65.0,0.0,No difference or Unsure,B,4,
Model_C,Topic_5,Harm_4,Benefit_1,treatment,2,40.0,0.0,A,B,4,
Model_A,Control,Control,Control,control,2,0.0,0.0,B,Neither,5,
Model_C,Topic_8,Harm_4,Benefit_3,treatment,2,65.0,0.0,A,B,5,
Model_B,Control,Control,Control,control,2,0.0,0.0,B,Neither,4,
Model_A,Topic_1,Harm_4,Benefit_2,treatment,2,0.0,15.0,B,A,5,
Model_C,Topic_9,Harm_2,Benefit_4,treatment,2,0.0,15.0,B,A,1,
Model_B,Topic_2,Harm_2,Benefit_2,treatment,2,15.0,0.0,A,B,3,
Model_B,Topic_10,Harm_1,Benefit_3,treatment,2,0.0,15.0,B,A,3,
Model_C,Topic_7,Harm_4,Benefit_1,treatment,2,40.0,0.0,A,B,4,
Model_A,Topic_6,Harm_3,Benefit_4,treatment,2,40.0,0.0,A,B,4,
Model_A,Topic_5,Harm_3,Benefit_2,treatment,2,40.0,0.0,A,B,5,
Model_C,Control,Control,Control,control,2,0.0,0.0,A,Neither,3,
Model_A,Control,Control,Control,control,2,0.0,0.0,No difference or Unsure,Neither,1,
Model_B,Topic_1,Harm_3,Benefit_4,treatment,2,0.0,40.0,B,A,4,
Model_C,Topic_6,Harm_2,Benefit_3,treatment,2,65.0,0.0,A,B,3,
Model_B,Topic_4,Harm_3,Benefit_4,treatment,2,65.0,0.0,A,B,4,
Model_A,Topic_11,Harm_2,Benefit_3,treatment,2,0.0,40.0,B,A,5,
Model_B,Control,Control,Control,control,2,0.0,0.0,B,Neither,2,
Model_A,Topic_9,Harm_4,Benefit_4,treatment,2,15.0,0.0,A,B,2,
Model_A,Topic_2,Harm_3,Benefit_4,treatment,2,0.0,65.0,B,A,3,
Model_C,Topic_1,Harm_3,Benefit_1,treatment,2,0.0,15.0,B,A,3,
Model_B,Topic_9,Harm_3,Benefit_3,treatment,2,40.0,0.0,A,B,5,
Model_A,Topic_7,Harm_2,Benefit_4,treatment,2,0.0,65.0,B,A,4,
Model_A,Topic_4,Harm_2,Benefit_4,treatment,2,15.0,0.0,B,B,4,
Model_C,Topic_10,Harm_3,Benefit_1,treatment,2,40.0,0.0,A,B,1,
Model_B,Topic_6,Harm_2,Benefit_3,treatment,2,15.0,0.0,A,B,4,
Model_C,Control,Control,Control,control,2,0.0,0.0,A,Neither,4,
Model_C,Topic_8,Harm_1,Benefit_4,treatment,3,40.0,0.0,A,B,5,
Model_C,Topic_10,Harm_4,Benefit_1,treatment,3,65.0,0.0,B,B,5,
Model_C,Topic_6,Harm_4,Benefit_4,treatment,3,65.0,0.0,B,B,5,
Model_B,Topic_11,Harm_1,Benefit_4,treatment,3,15.0,0.0,A,B,1,
Model_A,Control,Control,Control,control,3,0.0,0.0,B,Neither,2,
Model_A,Topic_3,Harm_3,Benefit_2,treatment,3,0.0,15.0,B,A,1,
Model_C,Control,Control,Control,control,3,0.0,0.0,A,Neither,5,
Model_C,Topic_5,Harm_3,Benefit_4,treatment,3,0.0,40.0,A,A,4,
Model_B,Control,Control,Control,control,3,0.0,0.0,No difference or Unsure,Neither,1,
Model_B,Topic_4,Harm_2,Benefit_2,treatment,3,65.0,0.0,A,B,5,
Model_B,Topic_3,Harm_3,Benefit_2,treatment,3,15.0,0.0,No difference or Unsure,B,3,
Model_C,Topic_2,Harm_3,Benefit_3,treatment,3,0.0,15.0,B,A,2,
Model_A,Topic_8,Harm_2,Benefit_3,treatment,3,40.0,0.0,A,B,4,
Model_C,Topic_3,Harm_4,Benefit_1,treatment,3,0.0,40.0,B,A,2,
Model_A,Topic_5,Harm_1,Benefit_3,treatment,3,0.0,40.0,No difference or Unsure,A,2,
Model_B,Topic_10,Harm_1,Benefit_1,treatment,3,0.0,40.0,B,A,5,
Model_B,Control,Control,Control,control,3,0.0,0.0,A,Neither,1,
Model_A,Topic_9,Harm_3,Benefit_1,treatment,3,15.0,0.0,No difference or Unsure,B,1,
Model_C,Topic_4,Harm_2,Benefit_1,treatment,3,0.0,15.0,B,A,2,
Model_C,Control,Control,Control,control,3,0.0,0.0,B,Neither,5,
Model_A,Control,Control,Control,control,3,0.0,0.0,No difference or Unsure,Neither,2,
Model_B,Topic_6,Harm_3,Benefit_2,treatment,3,0.0,65.0,B,A,5,
Model_A,Topic_4,Harm_2,Benefit_2,treatment,3,0.0,65.0,B,A,4,
Model_C,Topic_11,Harm_2,Benefit_4,treatment,3,65.0,0.0,A,B,4,
Model_A,Topic_1,Harm_1,Benefit_4,treatment,3,0.0,65.0,B,A,4,
Model_A,Topic_10,Harm_3,Benefit_2,treatment,3,15.0,0.0,B,B,3,
Model_B,Topic_7,Harm_3,Benefit_2,treatment,3,65.0,0.0,A,B,4,
Model_A,Topic_2,Harm_3,Benefit_1,treatment,3,0.0,40.0,B,A,3,
Model_B,Topic_9,Harm_2,Benefit_3,treatment,3,40.0,0.0,B,B,4,
Model_B,Topic_5,Harm_4,Benefit_4,treatment,3,0.0,15.0,B,A,3,
Model_A,Topic_5,Harm_4,Benefit_2,treatment,4,0.0,65.0,B,A,3,
Model_C,Topic_5,Harm_1,Benefit_2,treatment,4,15.0,0.0,A,B,3,
Model_B,Topic_10,Harm_4,Benefit_1,treatment,4,0.0,65.0,No difference or Unsure,A,2,
Model_A,Control,Control,Control,control,4,0.0,0.0,No difference or Unsure,Neither,1,
Model_B,Control,Control,Control,control,4,0.0,0.0,A,Neither,2,
Model_B,Topic_3,Harm_1,Benefit_3,treatment,4,15.0,0.0,No difference or Unsure,B,2,
Model_A,Topic_7,Harm_2,Benefit_3,treatment,4,0.0,15.0,B,A,2,
Model_B,Topic_5,Harm_4,Benefit_1,treatment,4,40.0,0.0,A,B,4,
Model_B,Topic_6,Harm_2,Benefit_2,treatment,4,15.0,0.0,A,B,5,
Model_A,Topic_3,Harm_3,Benefit_3,treatment,4,40.0,0.0,A,B,5,
Model_C,Control,Control,Control,control,4,0.0,0.0,B,Neither,4,
Model_C,Topic_8,Harm_4,Benefit_3,treatment,4,40.0,0.0,A,B,5,
Model_C,Topic_1,Harm_3,Benefit_1,treatment,4,0.0,40.0,No difference or Unsure,A,5,
Model_A,Topic_8,Harm_4,Benefit_1,treatment,4,40.0,0.0,A,B,5,
Model_C,Topic_10,Harm_4,Benefit_2,treatment,4,65.0,0.0,A,B,5,
Model_A,Topic_11,Harm_4,Benefit_1,treatment,4,0.0,65.0,B,A,4,
Model_B,Topic_2,Harm_4,Benefit_4,treatment,4,40.0,0.0,No difference or Unsure,B,2,
Model_B,Topic_1,Harm_2,Benefit_1,treatment,4,65.0,0.0,A,B,3,
Model_A,Topic_6,Harm_4,Benefit_3,treatment,4,0.0,15.0,B,A,1,
Model_A,Control,Control,Control,control,4,0.0,0.0,A,Neither,4,
Model_B,Topic_9,Harm_4,Benefit_2,treatment,4,65.0,0.0,A,B,4,
Model_A,Topic_2,Harm_2,Benefit_1,treatment,4,40.0,0.0,B,B,4,
Model_C,Topic_6,Harm_1,Benefit_3,treatment,4,15.0,0.0,B,B,4,
Model_C,Topic_7,Harm_4,Benefit_2,treatment,4,0.0,65.0,A,A,4,
Model_C,Topic_4,Harm_4,Benefit_2,treatment,4,0.0,65.0,B,A,5,
Model_B,Control,Control,Control,control,4,0.0,0.0,B,Neither,5,
Model_B,Topic_4,Harm_3,Benefit_4,treatment,4,15.0,0.0,B,B,2,
Model_A,Topic_1,Harm_4,Benefit_3,treatment,4,0.0,15.0,B,A,3,
Model_C,Control,Control,Control,control,4,0.0,0.0,B,Neither,4,
Model_C,Topic_3,Harm_1,Benefit_2,treatment,4,40.0,0.0,No difference or Unsure,B,3,
